label,text
spam,25 lakh jeetne ka mauka! Abhi UPI se 25178 bheje aur reward paaye
ham,Call me when you reach home
spam,Work from home job earn ₹43426 per month WhatsApp 4252204669
spam,"మీరు 17859 రూపాయలు గెలిచారు, వెంటనే చెల్లించండి"
ham,मैं कल आ रहा हूँ
ham,Meeting scheduled at 5 pm
ham,Meeting scheduled at 5 pm
spam,You won a lottery of ₹49842! Click the link to claim now
ham,Hi how are you doing today
spam,You won a lottery of ₹33878! Click the link to claim now
spam,25 lakh jeetne ka mauka! Abhi UPI se 30470 bheje aur reward paaye
ham,Let's meet tomorrow for lunch
ham,Hi how are you doing today
spam,Work from home job earn ₹22010 per month WhatsApp 5579880313
spam,"आप 28486 रुपये जीत गए, अभी OTP share करें"
ham,आप कैसे हो
ham,Let's meet tomorrow for lunch
ham,Let's meet tomorrow for lunch
spam,"మీరు 48831 రూపాయలు గెలిచారు, వెంటనే చెల్లించండి"
spam,You won a lottery of ₹11186! Click the link to claim now
ham,आप कैसे हो
spam,"మీరు 20801 రూపాయలు గెలిచారు, వెంటనే చెల్లించండి"
spam,"URGENT: Your bank KYC expired, verify immediately"
spam,Limited offer investment double your money in 7 days
spam,"आप 45227 रुपये जीत गए, अभी OTP share करें"
spam,"మీరు 44719 రూపాయలు గెలిచారు, వెంటనే చెల్లించండి"
spam,"URGENT: Your bank KYC expired, verify immediately"
ham,Did you finish the assignment
ham,मैं कल आ रहा हूँ
spam,Electricity bill pending pay ₹34545 now or power disconnect
ham,आप कैसे हो
spam,Work from home job earn ₹22521 per month WhatsApp 5413372727
spam,"आप 1296 रुपये जीत गए, अभी OTP share करें"
ham,నేను రేపు వస్తాను
ham,Call me when you reach home
ham,मैं कल आ रहा हूँ
spam,Electricity bill pending pay ₹25498 now or power disconnect
ham,Call me when you reach home
spam,"URGENT: Your bank KYC expired, verify immediately"
spam,Limited offer investment double your money in 7 days
ham,Hi how are you doing today
spam,"మీరు 9212 రూపాయలు గెలిచారు, వెంటనే చెల్లించండి"
spam,"आप 20898 रुपये जीत गए, अभी OTP share करें"
ham,Hi how are you doing today
ham,నేను రేపు వస్తాను
ham,Did you finish the assignment
spam,"आप 1938 रुपये जीत गए, अभी OTP share करें"
spam,"URGENT: Your bank KYC expired, verify immediately"
ham,Meeting scheduled at 5 pm
spam,Electricity bill pending pay ₹3301 now or power disconnect
ham,నేను రేపు వస్తాను
ham,मैं कल आ रहा हूँ
spam,"URGENT: Your bank KYC expired, verify immediately"
ham,मैं कल आ रहा हूँ
spam,"మీరు 7892 రూపాయలు గెలిచారు, వెంటనే చెల్లించండి"
spam,Limited offer investment double your money in 7 days
spam,Limited offer investment double your money in 7 days
ham,Meeting scheduled at 5 pm
spam,Limited offer investment double your money in 7 days
ham,आप कैसे हो
spam,Work from home job earn ₹29554 per month WhatsApp 1029542829
ham,Did you finish the assignment
ham,నేను రేపు వస్తాను
spam,You won a lottery of ₹17914! Click the link to claim now
spam,"మీరు 13558 రూపాయలు గెలిచారు, వెంటనే చెల్లించండి"
ham,आप कैसे हो
ham,Meeting scheduled at 5 pm
ham,मैं कल आ रहा हूँ
spam,Limited offer investment double your money in 7 days
ham,Call me when you reach home
ham,मैं कल आ रहा हूँ
ham,Hi how are you doing today
ham,Hi how are you doing today
ham,Call me when you reach home
spam,"URGENT: Your bank KYC expired, verify immediately"
ham,Did you finish the assignment
ham,Hi how are you doing today
ham,Call me when you reach home
spam,Work from home job earn ₹13705 per month WhatsApp 8002568537
ham,Hi how are you doing today
ham,Did you finish the assignment
ham,आप कैसे हो
ham,Did you finish the assignment
ham,Call me when you reach home
ham,Meeting scheduled at 5 pm
ham,Did you finish the assignment
ham,Did you finish the assignment
ham,నేను రేపు వస్తాను
spam,"మీరు 8744 రూపాయలు గెలిచారు, వెంటనే చెల్లించండి"
ham,Did you finish the assignment
spam,25 lakh jeetne ka mauka! Abhi UPI se 28559 bheje aur reward paaye
spam,Electricity bill pending pay ₹38629 now or power disconnect
spam,Limited offer investment double your money in 7 days
ham,Meeting scheduled at 5 pm
spam,Work from home job earn ₹44635 per month WhatsApp 1942195208
ham,Let's meet tomorrow for lunch
ham,Meeting scheduled at 5 pm
ham,Meeting scheduled at 5 pm
ham,मैं कल आ रहा हूँ
ham,నేను రేపు వస్తాను
ham,Hi how are you doing today
spam,Electricity bill pending pay ₹39656 now or power disconnect
