label,text,language
spam,Your credit score is excellent! Pre-approved personal loan Rs 3 lakh. Zero interest for 3 months. Apply now.,English
ham,Reminder: Your insurance premium of Rs 1200 is due on 25th this month.,English
spam,Your parcel is stuck at customs. Pay Rs 199 clearance fee at this link to release it today.,English
ham,Paytm: Rs 200 cashback credited to your wallet on recharge of Rs 399.,English
ham,Aapki KYC successfully update ho gayi hai. Koi action nahi lena.,Hindi
spam,Apnar number ek sarkar prakalpe select hoyeche. Account details dile taka pathano hobe.,Bengali
ham,"Dear customer, your KYC has been successfully updated. No action needed.",English
spam,Part time job available. Liking YouTube videos and earning Rs 300 per like. WhatsApp to join team.,English
spam,Aapka Netflix account dusre device se access hua. Card details verify karein is link par.,Hinglish
spam,Ungal number oru prize scheme la select aagiyathu. Claim karanumna adhar card details sollunga.,Tamil
ham,Ungal SBI OTP: 839201. Yarum share pannatheenga.,Tamil
ham,Your SBI OTP is 482910. Valid for 10 minutes. Do not share with anyone.,English
ham,Tamaara account ma Rs 4500 jama thaya che. Balance check karo.,Gujarati
spam,Bhai free mein Rs 500 wallet balance milega bas ek baar is app ko install karo aur apna number verify karo.,Hinglish
ham,OTP for login to net banking: 738291. Never share OTP with anyone.,English
spam,Your Google account will be deleted in 48 hours due to suspicious activity. Click to recover.,English
ham,Your HDFC account has been credited with Rs 5000 salary. Check balance.,English
ham,Your loan EMI of Rs 4500 has been auto-debited. Thank you.,English
spam,Share market mein invest karo bina risk ke. Expert team handle karegi. Daily 2-3% guaranteed profit.,Hindi
spam,Tamaari lottery 15 lakh ni laagi che. Claim mate bank details ne aadhar number moka.,Gujarati
ham,Your electricity bill of Rs 840 for account 12345 is due by 30th.,English
spam,Namaste! Aap ek special government digital literacy scheme ke liye choose hue hain. Sirf Aadhaar number chahiye.,Hindi
ham,Apnar account e Rs 6000 joma hoyeche.,Bengali
spam,Tumhara phone number ek drug trafficking case mein aaya hai. Agar clear karna hai toh Rs 2000 ka fine bharo.,Hindi
ham,"Please bring 2 kg rice, 500g dal and 1 litre milk on your way home.",English
ham,Kal 5 baje park mein milte hain. 10-15 minute late ho sakta hun.,Hindi
ham,Your Aadhaar card has been linked to your mobile number successfully.,English
ham,Tumchi vij bill Rs 750 is mahinyat yaychi aahe. Veleva bharaa.,Marathi
ham,Mee bank account lo Rs 5000 credit ayyindi salary ga.,Telugu
spam,"Hi, I found your number on a job portal. We need home-based workers. Rs 600/hour guaranteed. Interested?",English
ham,Your mutual fund SIP of Rs 2000 has been processed successfully.,English
ham,Room number 304 has been booked for you at Hotel Taj for 2 nights.,English
spam,We are from CBI cybercrime unit. A fraud case is registered against your mobile number. Call back immediately.,English
ham,Flight AI202 from Mumbai to Delhi departs at 0630 hours. Gate 12.,English
spam,Tumchya number la ek scam case attach zaala aahe. Clear karayla officer cha number aahe.,Marathi
spam,Mee number oka illegal activity lo vachindi. Clear cheyyataniki oka small fee pay cheyyaali.,Telugu
ham,Your registration number for the exam is 2024MHTCET05839.,English
ham,Aapke account mein Rs 8000 credit hua hai. Balance check karein.,Hindi
ham,Amazon order #405-1234 has been delivered. Rate your experience.,English
ham,Your UPI transaction of Rs 500 to Rahul is successful. Ref: 29381.,English
ham,Aapka SBI OTP hai 920183. Kisi ke saath share na karein.,Hindi
ham,Congratulations on completing 5 years with us! Thank you for your loyalty.,English
ham,"Dear user, your PAN card application is under review. No action needed.",English
spam,Meeru selected ayyaaru Rs 15000 government digital payment scheme lo. Bank account details ivvandi.,Telugu
ham,IRCTC ticket booked successfully. PNR 4520183921. Journey date 20 March.,English
spam,"Your number has been selected for a cash prize. To verify, share your full name and date of birth.",English
spam,This is your bank calling. We have detected fraud on your account. Please confirm your card number to block it.,English
